,住所CD,都道府県CD,市区町村CD,町域CD,郵便番号,事業所フラグ,廃止フラグ,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ,町域補足,京都通り名,字丁目,字丁目カナ,補足,事業所名,事業所名カナ,事業所住所,新住所CD,住所,lat,lonn
46440,160857100,13,13104,131040001,160-8571,1,0,東京都,トウキョウト,新宿区,シンジュクク,愛住町,アイズミチョウ,,,,,,株式会社　太田出版,カブシキカイシヤ　オオタシユツパン,愛住町２２第三山田ビル４Ｆ,,東京都新宿区愛住町２２第三山田ビル４Ｆ,35.691802,
46444,162858500,13,13104,131040004,162-8585,1,0,東京都,トウキョウト,新宿区,シンジュクク,揚場町,アゲバチョウ,,,,,,株式会社　ＴＫＣ　東京本社,カブシキガイシヤ　テイケ－シ－　トウキヨウホンシヤ,揚場町２番１号軽子坂ＭＮビル５階,,東京都新宿区揚場町２番１号軽子坂ＭＮビル５階,35.701951,
46445,162855600,13,13104,131040004,162-8556,1,0,東京都,トウキョウト,新宿区,シンジュクク,揚場町,アゲバチョウ,,,,,,株式会社　銀座コージーコーナー,カブシキガイシヤ　ギンザコ－ジ－コ－ナ－,揚場町２－２６,,東京都新宿区揚場町２－２６,35.702407,
46446,162858700,13,13104,131040004,162-8587,1,0,東京都,トウキョウト,新宿区,シンジュクク,揚場町,アゲバチョウ,,,,,,土地興業　株式会社,トチコウギヨウ　カブシキガイシヤ,揚場町２－１８,,東京都新宿区揚場町２－１８,35.702687,
46447,162856500,13,13104,131040004,162-8565,1,0,東京都,トウキョウト,新宿区,シンジュクク,揚場町,アゲバチョウ,,,,,,大興電子通信　株式会社,ダイコウデンシツウシン　カブシキガイシヤ,揚場町２－１,,東京都新宿区揚場町２－１,35.701819,
46449,160852900,13,13104,131040005,160-8529,1,0,東京都,トウキョウト,新宿区,シンジュクク,荒木町,アラキチョウ,,,,,,社団法人　金融財政事情研究会　検定センター,シヤダンホウジン　キンユウザイセイジジヨウケンキユウカイ　ケンテイセンタ－,荒木町２－３,,東京都新宿区荒木町２－３,35.688804,
46451,162800100,13,13104,131040006,162-8001,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷加賀町,イチガヤカガチョウ,,,,,,大日本印刷　株式会社,ダイニツポンインサツ　カブシキガイシヤ,市谷加賀町１丁目１－１,,東京都新宿区市谷加賀町１丁目１－１,35.695623,
46454,162840700,13,13104,131040008,162-8407,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷砂土原町,イチガヤサドハラチョウ,,,,,,新日本法規出版　株式会社,ニホンホウキシユツパン　カブシキガイシヤ,市谷砂土原町２丁目６,,東京都新宿区市谷砂土原町２丁目６,35.695972,
46455,162846000,13,13104,131040008,162-8460,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷砂土原町,イチガヤサドハラチョウ,,,,,,公益財団法人　東京都予防医学協会　代謝異常検査センター,コウエキザイダンホウジン　トウキヨウトヨボウイガクキヨウカイ　タイシヤイジヨウケンサセンタ－,市谷砂土原町１－２－５９,,東京都新宿区市谷砂土原町１－２－５９,35.694281,
46456,162844000,13,13104,131040008,162-8440,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷砂土原町,イチガヤサドハラチョウ,,,,,,東京産婦人科医会,トウキヨウサンフジンカイカイ,市谷砂土原町１丁目２保健会館内,,東京都新宿区市谷砂土原町１丁目２保健会館内,35.693781,
